I'm 19.	J'ai 19 ans.
I am seeing Mary this afternoon.	Je vais voir Mary cet après-midi.
I am seeing Mary this afternoon.	Je vois Mary cette après-midi.
I am sending the invoice by fax.	Je transmets la facture par fax.
I am sorry to have troubled you.	Veuillez m'excuser de vous avoir dérangé.
I am thinking about my children.	Je pense à mes enfants.
I am thinking about that matter.	Je suis en train de penser à cette affaire.
I am too tired to walk any more.	Je suis trop fatigué pour marcher davantage.
I am very sensitive to the cold.	Je suis très sensible au froid.
I'm afraid I have no experience.	Je crains de ne pas avoir d'expérience.
I'm afraid it may rain tomorrow.	J'ai bien peur qu'il pleuve demain.
I'm afraid it's not that simple.	Je crains que ce ne soit pas si simple.
I'm afraid that I might be late.	Je crains d'être éventuellement en retard.
I'm afraid you misunderstood me.	Je crains que tu m'aies mal compris.
I'm afraid you misunderstood me.	Je crains que tu m'aies mal comprise.
I'm almost 180 centimeters tall.	Je mesure presque 180 centimètres.
I'm already in a lot of trouble.	J'ai déjà beaucoup de problèmes.
I'm at Narita Airport right now.	Actuellement, je me trouve à l’aéroport de Narita.
I'm busy preparing for the trip.	Je suis occupé à préparer le voyage.
I'm considering going with them.	Je réfléchis à aller avec eux.
I'm employed by a French lawyer.	Je suis employé par un avocat français.
I'm expecting a letter from her.	J'attends une lettre d'elle.
I'm experiencing some heartburn.	Je ressens des brûlures d'estomac.
I'm familiar with the situation.	Je suis habitué à la situation.
I'm familiar with the situation.	Je suis habituée à la situation.
I'm friends with all those guys.	Je suis ami avec tous ces gars-là.
I'm getting a lot of complaints.	Je reçois de nombreuses plaintes.
I'm getting a lot of complaints.	Je recueille de nombreuses plaintes.
I'm getting married next Sunday.	Je me marie dimanche prochain.
I'm getting ready for the worst.	Je me prépare au pire...
I'm glad we're all in agreement.	Je suis content que nous soyons tous d'accord.
I'm glad we're all in agreement.	Je suis heureuse que nous soyons toutes d'accord.
I'm glad you're all right again.	Je suis content que tu ailles de nouveau bien.
I'm going on vacation next week.	Je pars en vacances la semaine prochaine.
I'm going to New York next week.	J'irai à New York la semaine prochaine.
I'm going to ask for a new desk.	Je vais demander un nouveau bureau.
I'm going to be doing that soon.	Je vais faire ça bientôt.
I'm going to be doing that soon.	Je vais le faire bientôt.
I'm going to catch the next bus.	Je vais attraper le bus suivant.
I'm going to go call the police.	Je vais appeler la police.
I'm going to put a curse on you.	Je vais lancer sur toi une malédiction.
I'm going to put a curse on you.	Je vais lancer sur vous une malédiction.
I'm going to take some pictures.	Je vais prendre quelques photos.
I'm going to take that as a yes.	Je vais prendre ça comme un oui.
I'm going to teach you a lesson.	Je vais te donner une leçon.
I'm going to teach you a lesson.	Je vais vous donner une leçon.
I'm going to tell you the truth.	Je vais te dire la vérité.
I'm going to the police station.	Je vais au commissariat.
I'm happy to have you here, Tom.	Je suis ravi de t'avoir ici, Tom.
I'm happy to report that we won.	Je suis heureux d'annoncer que nous avons gagné.
I'm just as confused as you are.	Je suis aussi perplexe que vous l'êtes.
I'm just as confused as you are.	Je suis aussi perplexe que tu l'es.
I'm just getting back to basics.	Je reviens à l'essentiel.
I'm just glad no one was killed.	Je suis content que personne n'ait été tué.
I'm just looking out for myself.	Je m'inquiète pour moi.
I'm kind of busy right now, Tom.	Je suis assez occupé, Tom.
I'm leaving for Canada tomorrow.	Je pars pour le Canada demain.
I'm leaving town for a few days.	Je quitte la ville pour quelques jours.
I'm leaving town for a few days.	Je m'éloigne de la ville pour quelques jours.
I'm looking for a French penpal.	Je cherche un correspondant français.
I'm looking for a part-time job.	Je cherche un travail à mi-temps.
I'm looking for a place to live.	Je cherche un endroit où vivre.
I'm looking for a room for rent.	Je cherche une chambre à louer.
I'm looking for my mobile phone.	Je cherche mon cellulaire.
I'm looking for my mobile phone.	Je cherche mon téléphone portable.
I'm no longer afraid of spiders.	Je n'ai plus peur des araignées.
I'm not a doctor, but a teacher.	Je ne suis pas médecin, mais professeur.
I'm not a doctor, but a teacher.	Je ne suis pas médecin, mais enseignant.
I'm not a doctor, but a teacher.	Je ne suis pas médecin, mais instituteur.
I'm not afraid to be criticized.	Je n'ai pas peur d'être critiqué.
I'm not as intelligent as he is.	Je ne suis pas plus intelligent que lui.
I'm not going to argue with you.	Je ne vais pas me disputer avec toi !
I'm not going to argue with you.	Je ne vais pas me disputer avec vous !
I'm not going to close the door.	Je ne vais pas fermer la porte.
I'm not going to play this game.	Je ne vais pas jouer à ce jeu.
I'm not going to school anymore.	Je ne vais plus à l'école.
I'm not going to tell you again.	Je ne vais pas vous le répéter.
I'm not going to tell you again.	Je ne vais pas te le répéter.
I'm not going to waste my money.	Je ne vais pas gaspiller mon argent.
I'm not good at public speaking.	Je ne suis pas bon pour parler en public.
I'm not good at public speaking.	Je ne suis pas bonne pour parler en public.
I'm not in that much of a hurry.	Il n'y a pas le feu au lac.
I'm not in that much of a hurry.	Je ne suis pas si pressé.
I'm not in that much of a hurry.	Je ne suis pas si pressée.
I'm not in that much of a hurry.	Je ne suis pas tant pressé.
I'm not in that much of a hurry.	Je ne suis pas tant pressée.
I'm not likely to do that again.	Il est peu probable que je le refasse.
I'm not living with him anymore.	Je ne vis plus avec lui.
I'm not prepared to do that yet.	Je ne suis pas encore prêt à faire cela.
I'm not rich enough to buy that.	Je ne suis pas assez riche pour acheter ça.
I'm not sure I'm ready for this.	Je ne suis pas sûr d'y être prêt.
I'm not sure I'm ready for this.	Je ne suis pas sûre d'y être prête.
I'm not sure if Tom can do that.	Je ne sais pas si Tom peut le faire.
I'm not sure if this is correct.	Je ne suis pas sûr que ce soit correct.
I'm not taking no for an answer.	Je ne prends pas « non » pour une réponse.
I'm not the least bit surprised.	Je ne suis pas du tout surpris.
I'm not very good at backgammon.	Je ne suis pas très fort au backgammon.
I'm not very musically inclined.	Je n'ai pas l'âme très musicale.
I'm obviously very disappointed.	Je suis évidemment très déçu.
I'm obviously very disappointed.	Je suis évidemment très déçue.
I'm only going to say this once.	Je ne le dirai pas deux fois.
I'm only going to say this once.	Je ne vais le dire qu'une seule fois.
I'm only going to show you once.	Je ne vais vous le montrer qu'une fois.
I'm only going to show you once.	Je ne vais te le montrer qu'une fois.
I'm planning to stay at a hotel.	Je prévois de dormir à l'hôtel.
I'm pretty sure Tom's competent.	Je suis assez sûr que Tom est compétent.
I'm rather surprised to hear it.	Je suis plutôt surpris d'entendre cela.
I'm reading a book about skiing.	Je lis un livre sur le ski.
I'm reading an interesting book.	Je suis en train de lire un livre intéressant.
I'm ready for my next challenge.	Je suis prêt pour mon prochain défi.
I'm ready to face any challenge.	Je suis prêt à affronter n'importe quel défi.
I'm ready to roll up my sleeves.	Je suis prêt à retrousser mes manches.
I'm ready to throw in the towel.	Je suis prêt à jeter l'éponge.
I'm running out of closet space.	Je manque d'espace dans ma penderie.
I'm running out of closet space.	Je manque d'espace dans mon placard.
I'm satisfied with his progress.	Je suis satisfait de ses progrès.
I'm saving money for my old age.	J'économise pour ma vieillesse.
I'm seeking a solution even now.	Même maintenant, je suis en quête d'une solution.
I'm short of cash at the moment.	En ce moment, je manque de liquidités.
I'm sicker than I thought I was.	Je suis plus malade que je le pensais.
I'm sleepy, so I am leaving now.	J'ai sommeil, alors je pars maintenant.
I'm so sorry that I lied to you.	Je suis si désolé de t'avoir menti.
I'm so sorry that I lied to you.	Je suis si désolée de t'avoir menti.
I'm so tired of keeping secrets.	Je suis si fatigué de garder des secrets.
I'm sorry I ruined your wedding.	Désolé d'avoir gâché ton mariage.
I'm sorry for the late response.	Je suis désolé de la réponse tardive.
I'm sorry to have disturbed you.	Je suis désolé de t'avoir dérangé.
I'm sorry to have disturbed you.	Je suis désolée de t'avoir dérangé.
I'm sorry to have disturbed you.	Je suis désolé de vous avoir dérangé.
I'm sorry to have disturbed you.	Je suis désolée de vous avoir dérangé.
I'm sorry, I don't speak French.	Je suis désolé, je ne parle pas français.
I'm sorry, I don't speak French.	Je suis désolée, je ne parle pas français.
I'm sorry, I don't speak French.	Je suis désolé, je ne parle pas le français.
I'm sorry, I don't speak French.	Je suis désolée, je ne parle pas le français.
I'm sorry, but the answer is no.	Je suis désolé, mais la réponse est "Non!".
I'm sorry, my father's not here.	Je suis désolé, mon père n'est pas là.
I'm sorry, my father's not here.	Je suis désolée, mon père n'est pas là.
I'm sure I saw something moving.	Je suis sûr d'avoir vu quelque chose bouger.
I'm sure I saw something moving.	Je suis sûre d'avoir vu quelque chose bouger.
I'm sure Tom doesn't think that.	Je suis sûr que Tom ne pense pas ça.
I'm sure Tom doesn't think that.	Je suis sûre que Tom ne pense pas cela.
I'm sure Tom was here yesterday.	Je suis sûr que Tom était ici hier.
I'm sure Tom will come tomorrow.	Je suis sûr que Tom viendra demain.
I'm sure Tom will come tomorrow.	Je suis sûre que Tom viendra demain.
I'm sure Tom would be delighted.	Je suis sûr que Tom serait ravi.
I'm sure Tom would be delighted.	Je suis sûre que Tom serait ravi.
I'm sure there'll be no problem.	Je suis certain que ça ira.
I'm sure you'll find a good job.	Je suis sûr que tu trouveras un bon travail.
I'm sure you'll find a good job.	Je suis sûre que vous trouverez un bon emploi.
I'm taking a couple of days off.	Je prends deux jours de congé.
I'm taking a couple of days off.	Je pars en vacances pour quelques jours.
I'm taking a couple of days off.	Je prends quelques jours de congé.
I'm the quarterback of the team.	Je suis le quart-arrière de l'équipe.
I'm thirty years older than you.	J'ai trente ans de plus que toi.
I'm thirty years older than you.	J'ai trente ans de plus que vous.
I'm tired of him bawling me out.	J'en ai marre qu'il m'engueule.
I'm too busy to talk to you now.	Je suis trop occupé pour te parler maintenant.
I'm too tired to go out jogging.	Je suis trop fatigué pour sortir courir.
I'm used to driving on the left.	Je suis habituée à conduire à gauche.
I'm usually not here on Mondays.	Je ne suis généralement pas là le lundi.
I'm very grateful for your help.	Je suis très reconnaissant pour votre aide.
I'm very happy with my purchase.	Je suis très satisfait de mon achat.
I'm very impressed by your work.	Je suis très impressionné par votre travail.
I'm very pleased with your work.	Je suis très heureux de ton travail.
I'm very pleased with your work.	Je suis ravi de votre travail.
I'm waiting for him to get back.	J'attends qu'il revienne.
I'm waiting for your assistance.	J'attends ton aide.
